City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saurimo,-9.6608,20.3916,23.91,19,9,1.78,AO,1722879413
1,bredasdorp,-34.5322,20.0403,8.98,83,11,2.91,ZA,1722879413
2,chibougamau,49.9168,-74.3659,17.79,45,75,6.17,CA,1722879413
3,duba,27.3513,35.6901,32.7,52,0,2.63,SA,1722879413
4,swakopmund,-22.6833,14.5333,13.88,79,24,2.24,NA,1722879413
5,galveston,29.3669,-94.9669,35.61,64,0,2.88,US,1722879413
6,yellowknife,62.456,-114.3525,20.23,59,75,4.63,CA,1722879413
7,pisco,-13.7,-76.2167,19.03,68,20,3.09,PE,1722879413
8,zhosaly,45.4878,64.0781,31.03,24,33,3.99,KZ,1722879413
9,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,1.0,RU,1722879413
10,port-aux-francais,-49.35,70.2167,0.62,75,5,6.02,TF,1722879413
11,margaret river,-33.95,115.0667,16.11,84,64,7.45,AU,1722879413
12,tingo maria,-9.2895,-76.0088,27.17,65,20,2.06,PE,1722879279
13,adamstown,-25.066,-130.1015,19.31,65,29,5.74,PN,1722879413
14,bethel,41.3712,-73.414,31.14,57,0,1.54,US,1722879353
15,grytviken,-54.2811,-36.5092,-6.87,77,100,4.27,GS,1722879239
16,edinburgh of the seven seas,-37.0676,-12.3116,13.79,89,89,11.49,SH,1722879414
17,mugia,43.1041,-9.2179,23.28,92,51,2.9,ES,1722879414
18,hermanus,-34.4187,19.2345,9.69,88,18,3.47,ZA,1722879414
19,beruniy,41.6911,60.7525,27.98,54,0,2.06,UZ,1722879414
20,geraldton,-28.7667,114.6,9.23,93,14,5.14,AU,1722878963
21,olonkinbyen,70.9221,-8.7187,6.73,95,94,2.84,SJ,1722879285
22,touros,-5.1989,-35.4608,26.94,65,35,7.99,BR,1722879414
23,ushuaia,-54.8,-68.3,-0.21,69,20,1.03,AR,1722879363
